lad_code,overall_score,overall_rank,overall_quantiles,individual_domain_score,individual_domain_rank,individual_domain_quantiles,community_domain_score,community_domain_rank,community_domain_quantiles,heat_hazard_quantiles,fire_quantiles,flood_quantiles
E07000093,27.27350599002642,106,2,-0.15295277083506645,154,3,-0.37015540978345163,126,3,2,3,4
E07000094,15.60242867108359,53,1,-1.2439575218467733,117,2,-1.4900959954973645,61,1,1,2,4
E07000095,69.78194492673043,255,5,-4.467779408173083,38,1,3.1343764917263433,296,5,4,4,3
E07000096,31.012015296633496,115,2,-4.124790236279404,47,1,0.8438378343466568,218,4,2,1,1
E07000098,47.824096349531494,184,3,-6.050326444102337,9,1,2.2604959850825828,273,5,3,3,3
E07000099,24.175926937678796,91,2,-3.0395918854074586,70,2,0.24154870250932686,173,3,1,3,2
E07000102,31.0770134140051,116,2,-5.512405565494729,20,1,1.0207317856372793,227,4,2,1,2
E07000103,38.017592326499944,142,3,-4.450413126501084,39,1,1.3627960008013997,245,4,5,2,1
E07000105,48.56152842428216,187,4,2.7140645555080236,237,4,-7.868665532623359e-4,158,3,2,1,4
E07000106,23.31322003494465,85,2,-0.5260104040200613,144,3,-0.6548253798571515,104,2,3,1,3
E07000107,42.183150932530005,163,3,-4.19417099864058,45,1,1.5580717393852348,255,5,4,1,2
E07000108,25.504490359047477,99,2,0.6700672606364607,183,3,-1.4015871128682629,66,2,3,2,3
E07000109,19.020398236594225,68,2,-3.7494182191630214,55,1,-0.07767307792781922,148,3,4,3,1
E07000110,54.70728000261517,212,4,0.7403431956136146,186,4,1.3158663803250683,242,4,5,1,3
E07000111,18.342468878663897,65,2,-2.0669053800506543,87,2,-0.4805018305215898,119,2,2,1,3
E07000112,47.38052006044168,183,3,3.309324626151034,251,5,-0.5532881742980862,113,2,4,3,4
E07000113,33.45346799596961,127,3,-2.06591864602638,88,2,0.7350413187747573,212,4,3,1,5
E07000114,28.431699016195065,110,2,0.8851313773348161,189,4,-1.0105600569490918,85,2,3,4,1
E07000115,25.830238618986012,101,2,-0.8934079676961777,130,3,-0.1754108860013466,140,3,2,1,4
E07000116,31.29703094512145,117,2,-1.2377470338886487,118,2,0.4177636869975928,185,3,2,1,2
E07000117,72.65393092860245,261,5,1.2517675511692157,195,4,2.348541058747214,278,5,4,5,3
E07000118,54.565328023168036,211,4,-0.5130984504736751,145,3,1.7643308435989884,259,5,4,3,3
E07000119,61.77549885677306,238,4,3.7389358689565295,262,5,0.3903150584776604,183,3,5,4,3
E07000120,43.27767135796924,168,3,1.7199162938593369,204,4,0.29379928085952134,177,3,4,5,3
E07000121,38.10792800354528,143,3,2.5894527676076775,233,4,-1.0947832064562748,81,2,5,5,4
E07000122,63.195123369590064,243,4,4.421891464464766,275,5,-0.06069360724480241,149,3,4,5,4
E07000123,20.025193901941396,75,2,-0.332118004954326,150,3,-1.428482795852496,63,2,5,5,3
E07000124,27.129087528755235,105,2,0.5330409806557691,177,3,-0.7685054226471233,93,2,2,1,5
E07000125,47.993801181127864,185,3,1.3830464345330886,198,4,0.6970355754094865,208,4,2,4,5
E07000126,23.670758972409473,89,2,-1.659806509225926,97,2,-0.049182702998614214,152,3,4,1,4
E07000127,31.53609810933584,120,2,-0.8051231504660078,134,3,0.25723078998297627,175,3,3,5,3
E07000128,62.73183864121094,240,4,3.676098454213439,260,5,0.5021130347423599,193,4,5,5,5
E07000129,76.27395945330811,270,5,-4.242408191567815,42,1,3.585839722515668,300,5,2,1,3
E07000130,15.684971841497493,55,1,-3.6004907015026646,58,1,-0.4665377467788988,120,2,4,2,4
E07000131,50.984915193552325,199,4,-1.5655096950619685,101,2,1.8720928981544145,263,5,1,2,4
E07000132,83.21995653326127,281,5,-1.6831400917135342,96,2,3.6791116372157413,301,5,2,1,2
E07000133,79.32139457858062,276,5,1.827371311658096,210,4,2.4821062404703995,283,5,1,2,5
E07000134,51.87144089860591,202,4,-0.553576141281245,143,3,1.5421716727448755,253,5,1,1,4
E07000135,36.62018590548454,135,3,-4.079134714134572,49,1,1.2774081329881735,238,4,4,1,1
E07000136,54.497342895147945,210,4,1.8511998517013657,213,4,0.9155817983500865,222,4,3,4,5
E07000137,107.93023381467617,303,5,9.423521711703058,309,5,-0.877953267191645,92,2,1,4,5
E07000138,54.20863233801725,209,4,2.0206911661821816,218,4,0.8229672929135461,216,4,3,5,3
E07000139,50.86812240553528,197,4,2.0029333946349444,217,4,0.6265504663378354,202,4,2,1,4
E07000140,98.45938535828361,297,5,4.686774176634919,281,5,2.215950754341465,271,5,1,3,5
E07000141,87.02453357977488,284,5,2.3632777818255937,228,4,2.542347748510084,287,5,3,3,4
E07000142,109.08769070956416,304,5,6.232344931060578,295,5,2.0420551109470573,266,5,1,3,5
E07000143,44.98962678239431,176,3,2.3526168943987398,227,4,-0.035395458969093574,153,3,1,3,4
E07000144,70.76772122559083,257,5,-0.3978618412807678,147,3,2.5387986364337602,286,5,3,1,3
E07000145,126.51238478427986,308,5,4.533583128361343,277,5,3.7954690169230956,302,5,4,5,5
