MSOA11CD,No. people in flood risk areas,% people in flood risk areas
E02002754,5400,0.641940086
E02002755,346,0.043803013
E02002757,317,0.048995363
E02002759,562,0.058878994
E02002761,256,0.038852633
E02002763,1543,0.174963148
E02002769,130,0.022711391
E02002770,724,0.10259317
E02002771,1996,0.27372463
E02002778,351,0.041750922
E02002779,387,0.03980253
E02002781,284,0.024816498
E02002784,1351,0.10025974
E02002785,512,0.060916121
E02002786,320,0.028208745
E02002788,588,0.064693586
E02002790,275,0.020885547
E02002793,287,0.030721473
E02002794,290,0.030239833
E02002795,365,0.043997107
E02002800,227,0.032080271
E02002801,623,0.083366787
E02002802,1367,0.171260336
E02002803,2731,0.322355996
E02002806,256,0.04034673
E02002808,936,0.071691176
E02002816,232,0.024413343
E02002819,152,0.019177391
E02002828,452,0.058496182
E02002829,345,0.030568846
E02002832,2726,0.297630746
E02002836,3772,0.395097937
E02002837,966,0.113955409
E02002839,753,0.095764975
E02002842,2261,0.263366337
E02002843,2935,0.206908706
E02002846,624,0.087236125
E02002847,1438,0.143670696
E02002857,1739,0.262966883
E02002864,312,0.038946449
E02002869,599,0.079590752
E02002872,554,0.063026166
E02002874,317,0.038480214
E02002876,348,0.042563601
E02002891,283,0.034554335
E02002893,1683,0.104527669
E02002896,305,0.028603582
E02002898,3842,0.352024922
E02002899,277,0.025138397
E02002901,4289,0.69547592
E02002905,422,0.065284653
E02002906,1742,0.285339885
E02002910,266,0.032332564
E02002911,289,0.030072841
E02002914,213,0.022918012
E02002916,734,0.072904251
E02002919,1103,0.112792719
E02002924,267,0.042747358
E02002929,286,0.044982699
E02002935,286,0.043771044
E02002936,330,0.031533684
E02002937,337,0.033499006
E02002938,389,0.053751555
E02002962,245,0.033686237
E02002964,254,0.029903461
E02002966,611,0.060375494
E02002969,1406,0.148688663
E02002976,278,0.046210106
E02002977,537,0.094177482
E02002979,350,0.058168523
E02002980,599,0.099949942
E02002982,583,0.073103448
E02002984,1038,0.193404136
E02002990,232,0.038045261
E02002991,765,0.067591447
E02002993,714,0.106614902
E02002994,291,0.027596017
E02002996,274,0.020495175
E02003013,1207,0.100768075
E02003019,2146,0.217470612
E02003034,319,0.023689292
E02003043,1319,0.069607895
E02003046,365,0.037101037
E02003047,249,0.022430412
E02003049,214,0.028091363
E02003050,195,0.01959996
E02003054,451,0.068582725
E02003059,336,0.0546875
E02003065,1327,0.134230225
E02003067,4184,0.527084908
E02003068,570,0.090634441
E02003069,980,0.174656924
E02003070,440,0.032279363
E02003071,5734,0.707639146
E02003074,7728,1
E02003076,1798,0.190587238
E02003077,297,0.048042705
E02003078,3756,0.522029187
E02003079,7136,0.764107506
E02003080,7670,0.876571429
E02003081,3522,0.37218641
E02003082,795,0.08614151
E02003084,7223,0.678662031
E02003085,6865,0.865699874
E02003086,1675,0.271123341
E02003087,732,0.071624266
E02003088,250,0.029606821
E02003089,3697,0.622076392
E02003091,262,0.039351157
E02003093,995,0.154000929
E02003094,3727,0.41717036
E02003095,594,0.078821656
E02003096,241,0.038290435
E02003097,295,0.045786124
E02003098,560,0.054337279
E02003113,270,0.025254887
E02003130,249,0.023903235
E02003142,197,0.021636463
E02003143,298,0.040566295
E02003147,330,0.035331906
E02003148,653,0.061580536
E02003149,289,0.030401851
E02003150,494,0.039957939
E02003152,773,0.074184261
E02003154,252,0.034883721
E02003156,397,0.03755913
E02003164,828,0.093856268
E02003167,648,0.067888947
E02003171,531,0.070583544
E02003179,127,0.019356805
E02003191,272,0.032889964
E02003202,299,0.047649402
E02003208,779,0.065335905
E02003211,344,0.038410004
E02003215,263,0.039548872
E02003219,247,0.026743179
E02003221,411,0.057936284
E02003224,675,0.081100565
E02003237,283,0.0490638
E02003239,527,0.071467318
E02003241,1067,0.162281369
E02003242,478,0.060103106
E02003244,344,0.036352108
E02003249,299,0.024731183
E02003253,316,0.032117085
E02003292,1500,0.121526371
E02003294,1871,0.201746819
E02003308,2066,0.285595798
E02003309,807,0.105738994
E02003310,4802,0.314225887
E02003311,1701,0.181905679
E02003312,5344,0.53021133
E02003313,14748,1
E02003314,561,0.088
E02003319,1281,0.151490066
E02003320,3234,0.349924259
E02003328,432,0.043960517
E02003333,1148,0.153949309
E02003338,796,0.110586274
E02003341,838,0.127046695
E02003353,947,0.09188822
E02003354,320,0.032122064
E02003357,317,0.031066249
E02003359,150,0.023030861
E02003368,313,0.055018457
E02003370,605,0.090827203
E02003373,282,0.032559751
E02003377,472,0.045665635
E02003378,870,0.111153699
E02003384,573,0.0879914
E02003385,2027,0.197505603
E02003392,3103,0.395841306
E02003395,507,0.0497742
E02003398,495,0.046826223
E02003399,677,0.046107744
E02003407,276,0.027408143
E02003409,561,0.056342272
E02003410,1188,0.102901689
E02003411,1949,0.172036367
E02003412,1346,0.13706721
E02003414,4731,0.358517733
E02003415,756,0.058324333
E02003417,203,0.017652174
E02003420,347,0.05299328
E02003421,369,0.065822333
E02003422,1267,0.110635697
E02003424,6178,0.689508929
E02003425,2449,0.186903762
E02003429,521,0.067909281
E02003430,2055,0.290870488
E02003431,3420,0.505393823
E02003432,1375,0.190206114
E02003436,6013,0.703192609
E02003448,501,0.067113195
E02003454,388,0.044085899
E02003458,568,0.070436508
E02003460,223,0.020717205
E02003461,736,0.101953179
E02003462,300,0.039808917
E02003488,323,0.041021082
E02003522,1511,0.195801477
E02003527,279,0.04408976
E02003530,2806,0.362064516
E02003531,1929,0.250129668
E02003537,1359,0.13149492
E02003546,1406,0.163545423
E02003547,2836,0.297680277
E02003548,1116,0.164747564
E02003554,589,0.094451572
E02003561,334,0.038914133
E02003570,1304,0.106736515
E02003577,614,0.043236392
E02003581,225,0.028535193
E02003583,403,0.054210385
