LAD19CD,LAD19NM,Extent of population living in highly clinically vulnerable areas,Extent of population living in highly health/wellbeing vulnerable areas,Extent of population living in highly economically vulnerable areas,Extent of population living in highly socially vulnerable areas,Extent of population living in highly socioeconomically vulnerable areas,Extent of population living in highly vulnerable areas,Clinical Vulnerability quintile,Health/Wellbeing Vulnerability quintile,Economic Vulnerability quintile,Social Vulnerability quintile,Socioeconomic Vulnerability quintile,Vulnerability quintile,Vulnerability rank,LA spending power rank,Volunteer rank,Capacity score,Capacity rank,Capacity decile,Capacity quintile,Name,Total people in flood risk areas,% people in flood risk areas,Flood risk quintile,Total historical flooding incidents,Flooding incidents per capita,Flood incidents quintile,Total dwelling fires (three-year average),Dwelling fire incidents per capita,Fire incidents quintile
E07000180,Vale of White Horse,0.5631324117205345,0.20572740138564638,0.11660217528537042,0.07449974576017707,0.1647202889675659,0.18068017417395668,3,3,1,1,1,1,40,212,125.5,36.26593330546939,135,5,3,Vale of White Horse,1464,0.010947267669667693,2,5,3.738820925432956e-5,1,90.83333333333333,6.792191347869869e-4,2
E07000181,West Oxfordshire,0.30936734253666953,0.43769542709232095,0.1136796088582111,0.1830524877768191,0.1161733294986099,0.10953547119164028,3,4,1,1,1,2,97,308,125.5,86.5854965678291,302,10,5,West Oxfordshire,1024,0.009326047358834244,2,NA,NA,NA,72.66666666666667,6.618093503339405e-4,1
E07000187,Mendip,0.6317251627427741,0.6913757668690577,0.32498679411510034,0.1867809893899362,0.2782738339306715,0.5087650882675391,5,5,3,2,2,3,137,255,125.5,47.92605543263899,212,7,4,Mendip,1781,0.015502998755233676,2,11,9.575125564714791e-5,3,85.33333333333333,7.427976195657535e-4,2
E07000188,Sedgemoor,0.45274317207372905,0.309235290260001,0.3132188455437116,0.17801823294952612,0.2410792579089244,0.3459218038009815,5,4,4,3,2,4,243,275,260,83.37982271454541,300,10,5,Sedgemoor,56469,0.45987898135856864,5,21,1.7102230619507944e-4,4,93,7.573844988639232e-4,3
E07000189,South Somerset,0.6569680616073638,0.550954408080119,0.22565390098762791,0.19156151753377404,0.18195502607263717,0.5609649305706883,5,4,3,3,2,4,231,286,260,89.80569005101621,304,10,5,South Somerset,1792,0.010675499371503803,2,29,1.7276198759688075e-4,4,147,8.757245578186714e-4,4
E07000192,Cannock Chase,0.493857563676645,0.1977354946266464,0.38605062587043276,0.3548334420744546,0.3088080833996207,0.16609295867504417,4,2,4,4,3,4,248,213,260,63.49579545783356,266,9,5,Cannock Chase,NA,NA,NA,5,4.9945559340319054e-5,2,73.16666666666667,7.308700183466688e-4,2
E07000193,East Staffordshire,0.2663330161134108,0.20405764821079972,0.33780694800404454,0.6105205898515073,0.37731678552056763,0.40041078056519,3,2,3,5,4,4,217,226,125.5,39.455120361908,151,5,3,East Staffordshire,14032,0.11833960227368563,5,15,1.265032806517449e-4,4,96,8.096209961711674e-4,3
E07000194,Lichfield,0.3510840945966127,0.18324074144385635,0.24276310094237177,0.27649132931882436,0.2267148103992487,0.45671779723439315,4,3,2,4,2,2,113,253,260,74.24654195956744,284,9,5,Lichfield,1959,0.018842879815322466,3,12,1.1542345981820806e-4,4,81,7.791083537729043e-4,3
E07000195,Newcastle-under-Lyme,0.444072515252143,0.3860041417544943,0.3192372505903728,0.17082497734025387,0.32492362751035436,0.33002656169344513,4,3,3,3,2,4,236,294,260,95.9492575984379,309,10,5,Newcastle-under-Lyme,1572,0.012139933585605066,2,NA,NA,NA,98,7.568151980847942e-4,3
E07000196,South Staffordshire,0.25405974200077536,0.337035520190162,0.16458753638998233,0.4347756095820772,0.22212787869286146,0.26628740974674164,4,4,2,4,3,5,254,312,125.5,95.79024589786026,308,10,5,South Staffordshire,978,0.008722330235627776,1,4,3.5674152292956137e-5,1,79.16666666666667,7.060509307980902e-4,2
