LAD19CD,Name,Total people in flood risk areas,% people in flood risk areas,Flood risk quintile,Total historical flooding incidents,"Flooding incidents per 10,000 people",Flood incidents quintile,Total dwelling fires (three-year average),"Dwelling fire incidents per 10,000 people",Fire incidents quintile
E07000216,Waverley,2598,0.02068306663482207,3,33,2.627179364700263,5,81.33333333333333,6.475068333200647,1
E07000217,Woking,1205,0.011910998645803474,2,5,0.494232308954501,2,82.33333333333334,8.138358687450783,3
E07000218,North Warwickshire,1205,0.018581341557440248,3,NA,NA,NA,36,5.5512721665381655,1
E07000219,Nuneaton and Bedworth,2727,0.021155606584847404,3,NA,NA,NA,87.66666666666667,6.801032308782383,2
E07000220,Rugby,1045,0.00974867996343079,2,7,0.6530216243446462,2,60.833333333333336,5.675068878233235,1
E07000221,Stratford-on-Avon,2982,0.02337356952500392,3,15,1.1757328734911427,4,68,5.32998902649318,1
E07000222,Warwick,2841,0.019939080879256617,3,11,0.7720165071165885,3,75,5.263748912158558,1
E07000223,Adur,6594,0.10324257464497644,5,6,0.9394228812099767,3,62.833333333333336,9.837845172671145,5
E07000224,Arun,7100,0.044423032403786596,4,25,1.5641912818234716,4,148.5,9.291296214031421,5
E07000225,Chichester,3873,0.032074534161490684,4,31,2.567287784679089,5,100.5,8.322981366459627,4
E07000226,Crawley,2714,0.024135600455321572,3,10,0.8892999430848036,3,84.83333333333333,7.54422785050275,3
E07000227,Horsham,522,0.003670447274235851,1,10,0.7031508188191286,3,109.16666666666667,7.676063105442154,3
E07000228,Mid Sussex,301,0.0020104731625210396,1,11,0.7347244115525394,3,99.66666666666667,6.657048456188161,1
E07000229,Worthing,2374,0.021576914337650535,3,10,0.9088843444671665,3,124,11.270165871392866,5
E07000234,Bromsgrove,NA,NA,NA,5,0.5067807261154244,2,71.5,7.246964383450569,2
E07000235,Malvern Hills,1030,0.013186025373497369,2,40,5.120786552814512,5,57.833333333333336,7.403803890944316,2
E07000236,Redditch,367,0.004318205885467531,1,5,0.5883114285378108,2,60.666666666666664,7.13817866625877,2
E07000237,Worcester,563,0.005525512557536976,1,37,3.631331520939043,5,90.5,8.882040612026577,4
E07000238,Wychavon,1211,0.009509973299827234,2,NA,NA,NA,85.5,6.714308151405685,2
E07000239,Wyre Forest,2879,0.02848746314143793,3,17,1.6821357186677484,4,87.83333333333333,8.691034546450034,4
E07000240,St Albans,1019,0.006914428015986646,1,NA,NA,NA,106.33333333333333,7.215252002288976,2
E07000241,Welwyn Hatfield,1061,0.008643866195232431,1,22,1.7923190979746793,5,97,7.902497841070177,3
E07000242,East Hertfordshire,4864,0.03284156510583708,4,6,0.40511799061476655,1,104.33333333333333,7.044551725690107,2
E07000243,Stevenage,NA,NA,NA,NA,NA,NA,70,7.976844360371037,3
E07000244,East Suffolk,3659,0.014739233592078922,2,33,1.3293104906766997,4,157.66666666666666,6.351150122122009,1
E07000245,West Suffolk,2927,0.016362833392031574,3,12,0.6708370369128079,2,126,7.043788887584483,2
E07000246,Somerset West and Taunton,6930,0.04503918994449716,4,53,3.4445556523208505,5,132.5,8.611389130802127,4
E08000001,Bolton,1277,0.004474860883338239,1,15,0.5256297043858542,2,309.6666666666667,10.851333230543524,5
E08000002,Bury,3454,0.01816861994234856,3,33,1.7358554085046394,4,187,9.83651398152629,5
E08000003,Manchester,5546,0.010127331194407873,2,16,0.29216967023174534,1,668.6666666666666,12.210257468435023,5
E08000004,Oldham,514,0.002181450877036622,1,NA,NA,NA,252.83333333333334,10.730418224593242,5
E08000005,Rochdale,1549,0.007040877086922332,1,11,0.4999977272830578,2,235,10.681769628319872,5
E08000006,Salford,4947,0.01944514323448948,3,29,1.1399012609666364,4,305.8333333333333,12.021372493527457,5
E08000007,Stockport,2229,0.007639448204952447,1,10,0.34272984320109673,1,306.5,10.504669694113614,5
E08000008,Tameside,209,9.280763065227334e-4,1,12,0.5328667788647273,2,235.33333333333334,10.450109607736042,5
E08000009,Trafford,1156,0.004890637559758006,1,5,0.2115327664255193,1,219,9.265135169437746,5
E08000010,Wigan,6483,0.01988113638036358,3,16,0.49066509653835777,2,298.3333333333333,9.148859612538129,4
E08000011,Knowsley,NA,NA,NA,4,0.267431520816201,1,170.5,11.399268574790568,5
E08000012,Liverpool,2117,0.004278375308701856,1,9,0.18188652705865233,1,571.5,11.549794468224423,5
E08000013,St. Helens,1402,0.007786769157284961,1,14,0.7775661070042045,3,169.33333333333334,9.404847199003235,5
E08000014,Sefton,12442,0.045178579209574576,4,11,0.39942482824732384,1,316.3333333333333,11.4864897577791,5
E08000015,Wirral,9988,0.030900119108388635,4,11,0.3403096818104475,1,319.6666666666667,9.889605601703611,5
E08000016,Barnsley,336,0.0013703155396229186,1,6,0.24469920350409258,1,159.83333333333334,6.518514893345134,1
